# laowang-path-char-ngram-v1 tokens=1489910 uni=5742 bi=89292 tri=129179
# format: order\tkey\tcount   key uses \x1f as separator for multi-char contexts
1	換	177
1	名	2685
1	需	617
1	休	93
1	炒	4
1	聯	618
1	繫	47
1	戶	140
1	滾	7
1	牛	192
1	肉	69
1	級	308
1	推	541
1	原	1360
1	因	1579
1	和	6790
1	諧	11
1	腳	31
1	期	1982
1	闆	3
1	價	213
1	認	628
1	意	1145
1	掛	15
1	美	1629
1	短	145
1	褲	18
1	教	2529
1	騎	6
1	班	176
1	科	3037
1	卸	11
1	訂	106
1	毛	372
1	暖	36
1	那	477
1	邊	137
1	道	1123
1	青	252
1	茶	43
1	葉	57
1	夢	24
1	跟	82
1	討	242
1	論	1218
1	約	491
1	預	181
1	藍	43
1	牙	135
1	刷	42
1	她	132
1	鎮	86
1	果	994
1	稍	27
1	窗	28
1	自	3123
1	檯	2
1	前	1585
1	鹽	18
1	攤	4
1	抄	12
1	拜	109
1	託	17
1	塊	38
1	生	3654
1	日	2471
1	冰	79
1	脆	13
1	剛	51
1	詩	54
1	思	811
1	狗	23
1	牽	11
1	跑	38
1	派	515
1	險	72
1	櫃	9
1	輸	138
1	養	59
1	蛋	48
1	糕	21
1	發	1587
1	寄	36
1	淺	8
1	棒	33
1	追	142
1	標	435
1	題	683
1	錶	4
1	示	652
1	而	2657
1	恢	134
1	復	139
1	寬	37
1	比	1115
1	較	298
1	截	133
1	勢	227
1	介	233
1	紹	50
1	穩	53
1	術	539
1	單	262
1	文	5085
1	團	313
1	隊	283
1	捷	73
1	運	556
1	購	51
1	架	168
1	員	655
1	固	161
1	星	796
1	姐	25
1	仔	26
1	細	124
1	結	635
1	乾	83
1	份	379
1	語	1357
1	晚	153
1	園	111
1	背	128
1	字	1473
1	零	102
1	汽	79
1	度	1670
1	熱	127
1	倒	77
1	感	345
1	謝	65
1	禮	106
1	貌	61
1	景	325
1	糧	9
1	假	249
1	擦	12
1	放	924
1	魚	33
1	淘	8
1	寶	106
1	舊	97
1	封	260
1	停	142
1	租	114
1	池	37
1	年	5588
1	扮	43
1	橋	81
1	梁	162
1	努	99
1	震	122
1	口	1433
1	址	212
1	载	444
1	纪	657
1	录	231
1	存	937
1	档	204
1	阿	1166
1	南	2848
1	之	3166
1	页	723
1	海	3787
1	华	2346
1	民	6890
1	共	4557
1	国	10283
1	徽	462
1	图	800
1	五	863
1	红	224
1	旗	681
1	维	1208
1	基	2810
1	百	1300
1	維	719
1	載	92
1	檔	231
1	删	1714
1	除	2293
1	案	620
1	馆	268
1	已	2693
1	算	1249
1	死	382
1	草	239
1	白	396
1	内	2442
1	容	1762
1	攻	338
1	塞	190
1	缪	6
1	尔	1357
1	贝	185
1	克	1281
1	特	2022
1	像	416
1	为	4987
1	企	196
1	业	1305
1	识	410
1	享	131
1	使	2155
1	来	1571
1	开	1439
1	发	2246
1	多	2777
1	四	922
1	大	7749
1	古	1202
1	都	1488
1	京	1020
1	洛	273
1	阳	509
1	左	202
1	史	2418
1	官	602
1	种	1015
1	希	593
1	腊	134
1	哲	702
1	学	5496
1	链	449
1	标	768
1	题	984
1	斜	69
1	体	1450
1	粗	74
1	此	1675
1	处	481
1	插	90
1	入	1604
1	非	941
1	神	626
1	经	1537
1	网	1194
1	络	219
1	梅	122
1	州	1478
1	方	3619
1	准	322
1	备	232
1	后	1705
1	园	185
1	菌	66
1	类	929
1	编	634
1	辑	321
1	器	963
1	墨	64
1	哥	196
1	风	286
1	淡	51
1	北	2170
1	縣	223
1	复	405
1	於	1818
1	河	791
1	側	18
1	金	1075
1	融	220
1	济	753
1	如	2080
1	说	488
1	所	2000
1	罗	489
1	斯	2242
1	个	2284
1	投	328
1	机	1499
1	者	2037
1	其	3270
1	资	539
1	冉	8
1	闵	25
1	平	1829
1	皇	336
1	帝	991
1	武	577
1	悼	26
1	王	940
1	魏	171
1	主	4203
1	智	551
1	蒂	100
1	芬	108
1	奇	226
1	劳	107
1	伦	138
1	莱	120
1	恩	216
1	巴	1084
1	瑞	148
1	诺	232
1	顿	104
1	世	2223
1	坡	104
1	镇	242
1	遂	46
1	溪	65
1	于	2458
1	县	507
1	蒙	384
1	琼	46
1	拟	65
1	马	743
1	加	1634
1	亚	986
1	木	192
1	由	2093
1	护	266
1	计	1521
1	夸	12
1	父	156
1	山	2136
1	述	554
1	至	1397
1	太	716
1	焦	53
1	渴	6
1	饮	31
1	黄	317
1	渭	7
1	仍	367
1	足	261
1	干	267
1	遗	225
1	杖	2
1	邓	296
1	林	756
1	嫦	15
1	娥	17
1	奔	23
1	话	547
1	传	656
1	求	637
1	永	372
1	相	1544
1	守	189
1	羿	22
1	母	197
1	盗	10
1	药	148
1	乘	72
1	独	256
1	偷	11
1	又	461
1	猪	24
1	婆	19
1	龙	180
1	哈	295
1	谁	21
1	就	1050
1	现	1334
1	扬	59
1	射	238
1	十	1237
1	并	1147
1	枯	8
1	毒	135
1	蛇	17
1	猛	13
1	兽	8
1	害	188
1	九	307
1	仙	74
1	阁	19
1	代	3480
1	居	490
1	住	329
1	三	1428
1	蓬	26
1	丈	15
1	瀛	3
1	洲	735
1	玉	124
1	楼	89
1	记	453
1	禅	25
1	书	763
1	政	5043
1	长	962
1	最	1984
1	确	285
1	实	1055
1	域	1113
1	详	60
1	从	618
1	散	140
1	概	408
1	历	1137
1	著	835
1	间	865
1	钓	21
1	鱼	66
1	岛	369
1	问	670
1	侵	476
1	犯	416
1	权	961
1	爵	29
1	士	560
1	乐	525
1	论	1094
1	冲	130
1	锋	63
1	枪	16
1	雷	174
1	导	538
1	弹	63
1	榴	3
1	炮	40
1	农	636
1	夫	362
1	会	2947
1	气	410
1	旋	77
1	压	90
1	系	2401
1	统	1596
1	连	296
1	女	324
1	普	698
1	勒	259
1	第	2335
1	律	653
1	运	802
1	动	1391
1	绕	27
1	轨	82
1	椭	6
1	圆	43
1	点	784
1	数	1794
1	几	206
1	何	777
1	纺	10
1	织	353
1	丝	47
1	纤	27
1	按	253
1	结	557
1	构	579
1	块	82
1	布	945
1	匹	87
1	七	306
1	边	163
1	形	1114
1	麦	108
1	物	3212
1	递	27
1	媒	248
1	似	210
1	状	171
1	联	650
1	或	1816
1	总	780
1	却	66
1	观	666
1	印	439
1	术	712
1	孔	104
1	弟	63
1	诸	150
1	防	334
1	撒	61
1	旦	55
1	对	1770
1	颮	2
1	米	384
1	尼	1321
1	桥	145
1	热	119
1	近	814
1	怎	96
1	么	284
1	样	390
1	堂	138
1	与	1654
1	集	836
1	无	485
1	祖	243
1	浙	96
1	江	1009
1	庆	173
1	元	1379
1	车	227
1	根	525
1	乡	131
1	杉	28
1	虎	55
1	妈	5
1	戈	72
1	壁	47
1	流	844
1	脚	36
1	细	227
1	韩	86
1	征	219
1	节	288
1	遍	166
1	妍	2
1	受	753
1	界	1540
1	级	672
1	畜	63
1	牧	91
1	牲	18
1	饲	16
1	养	145
1	禽	26
1	狩	13
1	猎	12
1	税	48
1	谢	79
1	铭	11
1	只	625
1	先	708
1	德	1828
1	亲	81
1	变	557
1	性	1913
1	爱	122
1	香	725
1	制	1951
1	务	542
1	规	558
1	银	120
1	将	649
1	施	402
1	证	417
1	门	397
1	槛	2
1	产	1398
1	栖	15
1	霞	37
1	姚	34
1	爆	244
1	两	512
1	双	101
1	救	78
1	箭	17
1	时	2130
1	赛	116
1	获	229
1	胜	81
1	终	173
1	败	119
1	拓	77
1	刚	114
1	移	508
1	汉	707
1	斌	11
1	里	1222
1	湾	205
1	党	940
1	关	1157
1	羽	29
1	治	1916
1	莲	20
1	汤	60
1	战	837
1	秦	317
1	腔	29
1	冼	4
1	恒	44
1	殖	155
1	秘	102
1	警	95
1	察	320
1	营	174
1	造	689
1	娜	37
1	易	501
1	朗	116
1	氏	168
1	艺	217
1	诗	80
1	赋	36
1	属	392
1	进	1065
1	盒	34
1	淀	25
1	区	1963
1	庄	65
1	电	841
1	欧	244
1	始	1231
1	设	679
1	态	263
1	库	232
1	弗	162
1	曼	374
1	价	158
1	研	1885
1	究	1782
1	望	285
1	参	569
1	帮	162
1	鸟	17
1	纲	66
1	芮	5
1	驴	9
1	助	503
1	模	1004
1	户	310
1	称	984
1	也	2239
1	荷	107
1	兰	406
1	俄	232
1	列	1394
1	拉	1154
1	登	212
1	恐	80
1	怖	48
1	义	1223
1	亨	59
1	袭	60
1	击	245
1	故	290
1	具	615
1	分	3527
1	析	447
1	索	532
1	引	729
1	塔	249
1	無	483
1	厘	11
1	頭	119
1	指	1059
1	常	1575
1	语	2979
1	组	685
1	头	146
1	带	305
1	队	228
1	游	474
1	斤	6
1	川	193
1	谱	84
1	凉	54
1	妻	20
1	肺	30
1	湖	329
1	鄢	2
1	浩	20
1	省	2073
1	沅	5
1	课	59
1	伊	409
1	抵	109
1	抗	262
1	辛	127
1	赫	161
1	艾	103
1	迈	31
1	坦	169
1	胡	251
1	茵	10
1	梦	21
1	烧	30
1	八	346
1	军	824
1	号	598
1	万	756
1	抢	18
1	掠	11
1	箮	6
1	丁	210
1	单	358
1	词	386
1	请	329
1	贵	316
1	站	409
1	习	297
1	戏	241
1	脑	114
1	擎	38
1	选	272
1	择	97
1	面	2315
1	转	370
1	它	860
1	潮	168
1	粤	109
1	东	1700
1	沿	190
1	鲜	159
1	鹰	3
1	抓	15
1	鸡	26
1	这	1549
1	条	942
1	兔	10
1	尾	61
1	您	456
1	着	366
1	寻	43
1	源	1176
1	志	418
1	符	361
1	英	1144
1	销	57
1	盛	162
1	邮	53
1	报	770
1	儒	140
1	頂	29
1	陆	481
1	儿	122
1	童	98
1	併	78
1	曹	80
1	轩	4
1	葛	31
1	祁	13
1	君	625
1	沈	238
1	石	473
1	扑	15
1	搞	45
1	娘	19
1	欢	78
1	迎	125
1	写	385
1	操	421
1	嘉	160
1	诚	16
1	榜	52
1	峰	139
1	览	105
1	阶	196
1	坏	83
1	壬	13
1	啊	43
1	温	173
1	难	194
1	懂	30
1	听	44
1	际	511
1	陶	78
1	瓷	18
1	宮	57
1	缩	138
1	售	55
1	员	740
1	含	405
1	顾	41
1	注	498
1	郁	17
1	連	348
1	灣	1156
1	亥	37
1	革	1102
1	命	1279
1	立	2167
1	翅	4
1	膀	6
1	謂	71
1	念	524
1	朝	1245
1	缅	67
1	甸	47
1	刘	248
1	福	588
1	苹	22
1	廣	611
1	姓	97
1	约	554
1	翰	129
1	认	623
1	少	775
1	们	589
1	够	129
1	典	512
1	协	345
1	席	394
1	议	652
1	委	972
1	简	380
1	丹	201
1	佛	308
1	村	242
1	广	1067
1	泛	217
1	玄	62
1	锤	6
1	禁	153
1	令	303
1	止	296
1	某	408
1	搜	231
1	尋	87
1	候	327
1	范	287
1	围	167
1	色	637
1	蜂	12
1	斮	3
1	赔	7
1	央	1206
1	杨	92
1	场	485
1	周	630
1	声	194
1	讨	215
1	遭	169
1	裸	26
1	植	844
1	些	1444
1	飞	126
1	叫	96
1	据	732
1	胎	36
1	哺	14
1	乳	28
1	陇	21
1	铁	264
1	云	164
1	越	475
1	荥	24
1	邙	5
1	鹤	27
1	涧	5
1	浮	70
1	巨	148
1	渡	103
1	郑	117
1	墓	42
1	嘶	5
1	鸣	18
1	鸿	23
1	沟	52
1	铸	8
1	霸	56
1	二	1172
1	紧	38
1	邻	39
1	依	406
1	編	260
1	添	79
1	顶	57
1	千	328
1	尺	109
1	境	621
1	碧	18
1	桃	50
1	吐	52
1	艳	14
1	素	455
1	峪	18
1	豫	31
1	辖	170
1	积	332
1	耕	86
1	乔	58
1	棋	81
1	势	218
1	盘	102
1	即	640
1	洞	150
1	穴	20
1	洪	180
1	巩	22
1	汇	166
1	拔	88
1	掘	18
1	土	773
1	灵	75
1	羊	58
1	崖	33
1	爷	4
1	群	557
1	涵	76
1	莪	3
1	岸	201
1	距	92
1	麻	91
1	董	54
1	批	376
1	埋	15
1	藏	296
1	余	177
1	鉴	83
1	纳	287
1	玛	45
1	裴	13
1	岗	36
1	郊	31
1	柳	36
1	贾	29
1	鲁	147
1	汴	9
1	屯	40
1	侧	46
1	隆	155
1	临	148
1	宽	56
1	赵	120
1	砖	15
1	揭	65
1	露	56
1	朮	2
1	旧	96
1	寺	104
1	慈	46
1	善	208
1	泰	181
1	僧	31
1	摄	57
1	摩	129
1	腾	28
1	竺	12
1	碑	19
1	碣	3
1	达	634
1	该	512
1	寨	43
1	创	461
